iso3,country,region,hdi_1990,hdi_1995,hdi_2000,hdi_2005,hdi_2010,hdi_2015,hdi_2020,hdi_2023,le_1990,le_1995,le_2000,le_2005,le_2010,le_2015,le_2020,le_2023,eys_1990,eys_1995,eys_2000,eys_2005,eys_2010,eys_2015,eys_2020,eys_2023
AFG,Afghanistan,SA,0.285,0.329,0.351,0.417,0.465,0.496,0.501,0.496,45.118,52.103,55.005,58.247,60.702,62.27,61.454,66.035,2.936460018,4.396440763,5.856421507,7.858029938,9.180809975,10.48297477,10.70538475,10.79014324
ALB,Albania,ECA,0.654,0.638,0.682,0.723,0.769,0.797,0.794,0.81,72.71,74.022,74.826,76.427,78.414,78.358,77.824,79.602,11.57933998,10.05914021,10.82122358,12.03781033,13.69569969,15.45318031,14.73484993,14.51014996
DZA,Algeria,AS,0.595,0.608,0.651,0.692,0.718,0.737,0.742,0.763,67.658,67.691,70.576,72.836,74.144,75.159,73.257,76.261,9.797889709,9.958029747,11.22196007,12.72078991,14.23808002,14.83802509,15.30220699,15.4951601
AND,Andorra,,,,0.825,0.842,0.87,0.869,0.851,0.913,78.961,80.804,81.863,83.086,84.197,84.532,79.418,84.041,9.567166927,10.04495125,10.54659613,10.48631954,12.3120451,11.80185032,11.91193008,14.54279041
AGO,Angola,SSA,,,0.391,0.463,0.528,0.603,0.61,0.616,41.854,46.139,46.501,52.13,57.242,61.042,63.116,64.617,3.755630016,3.727985024,4.82183675,6.956728597,9.091620445,11.7487,12.1676,12.1676
ATG,Antigua and Barbuda,LAC,,,,,0.828,0.839,0.84,0.851,73.602,73.576,74.819,75.364,76.701,76.892,77.161,77.598,,,,,15.58386993,15.55905576,15.51232774,15.50299899
ARG,Argentina,LAC,0.733,0.754,0.789,0.812,0.844,0.859,0.851,0.865,71.615,72.864,73.91,75.231,75.68,76.6,75.878,77.395,13.39248967,13.45425487,15.68756962,16.01845932,17.02877998,17.58465958,18.36116028,18.83120918
ARM,Armenia,ECA,0.663,0.631,0.667,0.711,0.747,0.777,0.761,0.811,67.733,68.813,70.812,72.082,72.938,74.229,68.89,75.683,11.20504035,10.17511988,10.72482014,10.88076973,12.42601967,13.13249016,14.07796955,14.3838501
AUS,Australia,,0.867,0.882,0.897,0.914,0.929,0.938,0.95,0.958,77.041,78.257,79.621,81.092,82.013,82.605,83.664,83.923,17.4329358,18.97002983,20.77985446,21.60246319,22.42507193,23.24768066,20.93943977,20.65477943
AUT,Austria,,0.832,0.856,0.879,0.898,0.912,0.919,0.925,0.93,75.739,76.775,78.235,79.52,80.463,81.159,81.804,81.956,13.84039021,14.82771015,15.23290888,15.60798105,16.12933922,16.03313065,16.12446976,16.28428078
AZE,Azerbaijan,ECA,,0.618,0.652,0.692,0.744,0.771,0.757,0.789,62.75,61.931,65.377,67.71,70.309,72.349,70.312,74.429,11.28000926,11.39315299,11.5074316,11.62285648,11.65657997,13.01393986,12.63230991,12.90977955
BHS,Bahamas,LAC,0.762,0.774,0.787,0.798,0.801,0.807,0.797,0.82,70.945,71.422,72.481,73.413,73.449,73.805,72.994,74.552,11.29223459,11.37755013,11.46351024,11.5501198,11.63738372,11.72522743,11.89137971,11.89137971
BHR,Bahrain,AS,0.734,0.737,0.775,0.791,0.81,0.868,0.885,0.899,72.587,73.361,74.673,76.125,78.593,80.338,78.683,81.284,13.29489804,11.17031956,11.61752534,12.15157986,13.38945827,16.06879997,16.39122709,15.92718983
BGD,Bangladesh,SA,0.397,0.434,0.477,0.52,0.561,0.621,0.663,0.685,55.822,58.244,62.049,65.509,68.009,70.543,71.421,74.672,5.540100098,6.553213437,7.566326777,8.579440117,9.298855373,11.04898398,11.94633007,12.31016827
BRB,Barbados,LAC,0.73,0.744,0.762,0.779,0.797,0.8,0.803,0.811,73.463,73.88,74.58,74.96,75.488,76.055,76.647,76.178,12.94987011,13.6356091,14.2673502,15.05956999,15.7196703,16.05262844,16.53069367,16.6280018
BLR,Belarus,ECA,,0.692,0.724,0.767,0.803,0.825,0.815,0.824,71.145,68.752,68.464,68.982,70.501,73.761,72.269,74.434,12.5394001,12.00144958,13.24389331,14.89752007,15.55224037,15.26385021,14.26484013,13.71881008
BEL,Belgium,,0.824,0.875,0.894,0.911,0.921,0.933,0.939,0.951,76.059,76.84,77.768,79.053,80.04,80.889,80.798,82.115,14.09537029,17.4025898,17.77131081,18.83530998,19.21767998,19.79195976,19.27527046,18.99603081
BLZ,Belize,LAC,0.617,0.647,0.671,0.7,0.727,0.721,0.713,0.721,69.569,69.484,68.911,70.335,70.875,71.647,71.58,73.566,10.14398371,10.98299209,11.89139481,12.57670975,12.39898968,12.87318993,13.16993046,11.98379993
BEN,Benin,SSA,0.351,0.383,0.415,0.456,0.485,0.511,0.504,0.515,53.02,55.366,56.594,57.738,58.387,59.123,60.154,60.774,4.814975057,5.560086862,6.516719818,8.762456894,10.69014263,12.34691048,10.30257988,10.4464798
BTN,Bhutan,SA,,,,,0.593,0.637,0.688,0.698,55.811,59.277,61.842,65.875,68.765,70.797,72.253,72.975,5.531229076,6.603600792,7.90440011,9.379599571,11.80224037,12.63375797,13.06449041,13.15274184
BOL,Bolivia (Plurinational State of),LAC,0.552,0.594,0.63,0.658,0.677,0.704,0.697,0.733,56.797,59.787,62.057,64.182,66.003,67.205,62.906,68.581,11.04458491,12.44190997,14.01602005,15.77556992,15.16174507,14.88112997,15.52953515,15.61065006
BIH,Bosnia and Herzegovina,ECA,,,0.674,0.698,0.725,0.769,0.783,0.804,71.509,70.188,75.292,76.424,76.827,77.073,76.04,77.85,,,11.2798642,12.10950332,12.95133018,13.62532043,13.25508976,13.16394043
BWA,Botswana,SSA,0.59,0.583,0.594,0.616,0.652,0.69,0.718,0.731,60.104,54.713,52.263,54.386,59.137,63.215,67.643,69.163,10.59220615,10.70094013,11.74394989,11.6691103,11.68295281,11.5660107,11.44906858,11.42568016
BRA,Brazil,LAC,0.641,0.666,0.69,0.718,0.748,0.764,0.77,0.786,65.862,67.701,69.584,71.832,73.779,75.106,74.506,75.848,14.09510857,14.34200852,14.59323334,14.8488588,15.10896198,15.24540043,15.44596004,15.7927103
BRN,Brunei Darussalam,EAP,0.781,0.784,0.792,0.814,0.83,0.839,0.836,0.837,71.629,72.838,74.017,74.683,74.82,74.88,75.114,75.327,12.60107709,11.65198731,11.53234005,12.88778973,13.87399006,14.33631992,13.69861984,13.69861984
BGR,Bulgaria,,0.706,0.709,0.733,0.775,0.799,0.824,0.826,0.845,71.321,70.962,71.575,72.559,73.814,74.621,73.599,75.636,12.29901028,12.17436981,12.80523014,14.02011013,14.48367023,15.60958004,15.61781979,15.3166399
BFA,Burkina Faso,SSA,,,,0.333,0.377,0.419,0.453,0.459,49.315,49.554,50.808,53.271,56.343,58.778,60.454,61.092,2.411689997,2.887354088,3.367840052,4.500529766,6.557330132,8.038040161,8.777890205,8.733340263
BDI,Burundi,SSA,0.294,0.294,0.308,0.352,0.416,0.432,0.435,0.439,45.184,44.589,47.617,53.053,57.088,60.107,62.569,63.651,4.218900204,4.514097333,4.599766195,6.369110107,10.5172596,11.1534996,9.966378953,9.829423879
CPV,Cabo Verde,SSA,,,0.585,0.616,0.648,0.658,0.647,0.668,63.869,63.691,68.117,70.936,72.507,74.096,73.818,76.059,,,10.89157009,11.25413036,12.31021023,12.34346008,11.53066323,11.36709717
KHM,Cambodia,EAP,0.387,0.404,0.438,0.514,0.543,0.562,0.595,0.606,55.205,56.562,59.491,64.113,67.311,69.398,70.059,70.668,6.885230713,7.421036508,7.958469868,11.0031147,11.07475427,11.12211501,11.16947575,11.19789219
CMR,Cameroon,SSA,0.448,0.433,0.439,0.472,0.529,0.575,0.579,0.588,54.348,53.347,53.338,54.904,56.965,59.687,61.674,63.7,8.211890221,7.669185162,7.393889904,8.567790031,10.37228012,12.20610046,10.97260818,10.79187965
CAN,Canada,,0.865,0.881,0.894,0.909,0.918,0.932,0.931,0.939,77.433,78.021,79.233,80.131,81.336,81.908,81.654,82.63,16.68971062,16.8725605,15.75918961,15.36077581,15.17741013,15.95269012,15.94466972,15.88825989
CAF,Central African Republic,SSA,0.342,0.326,0.333,0.346,0.358,0.377,0.386,0.414,49.854,48.109,46.609,48.207,46.871,51.934,50.596,57.408,5.280560017,4.400449556,4.909631841,5.418814126,6.018069983,6.580602192,7.285887393,7.435767778
TCD,Chad,SSA,,,0.303,0.339,0.375,0.396,0.408,0.416,45.074,47.453,47.937,48.86,50.107,51.32,53.082,55.069,2.534906066,3.512551267,4.895040035,5.545400143,6.771590233,7.421199799,8.185526568,8.347590231
CHL,Chile,LAC,0.718,0.739,0.771,0.804,0.823,0.855,0.856,0.878,73.675,75.298,77.128,78.459,79.095,80.008,79.349,81.167,12.74779872,12.08984776,13.13626003,14.38132,15.09842968,16.39200974,16.34049988,16.91242027
CHN,China,EAP,0.491,0.543,0.598,0.654,0.71,0.75,0.786,0.797,68.155,70.363,72.288,74.085,75.668,76.975,78.019,77.953,8.605669975,8.725359917,9.904560328,11.54452419,13.04319954,13.97832615,15.21793605,15.4787495
COL,Colombia,LAC,0.623,0.655,0.679,0.711,0.741,0.767,0.764,0.788,68.701,69.81,70.905,73.156,74.876,76.067,74.757,77.725,9.167188807,10.55655956,12.15445042,13.17887974,14.41386032,14.64527988,14.27917004,14.28641033
COM,Comoros,SSA,,,0.461,0.499,0.534,0.565,0.592,0.603,55.62,57.83,58.941,60.883,62.747,64.473,65.756,66.777,7.426238172,7.68901716,8.182189941,9.526122284,10.77042694,11.82644926,13.03771042,13.29446063
COG,Congo,SSA,0.573,0.551,0.545,0.569,0.609,0.643,0.643,0.649,57.07,55.474,55.371,58.73,61.731,63.662,64.391,65.772,11.11108971,10.124471,9.178855705,9.010091782,10.06234741,11.17015669,12.41647044,12.68194711
COD,Congo (Democratic Republic of the),SSA,0.388,0.385,0.391,0.408,0.44,0.477,0.506,0.522,48.538,50.381,51.887,54.001,56.411,58.658,60.428,61.895,6.191844261,6.5542202,6.937803507,7.321386814,8.690759659,9.557940559,10.67325539,10.91147386
CRI,Costa Rica,LAC,0.677,0.706,0.72,0.748,0.776,0.803,0.819,0.833,76.094,76.44,77.317,78.877,79.354,80.407,79.725,80.799,9.739709854,10.698915,11.46004009,12.34011868,13.69601127,14.69305038,16.09200378,16.34963687
HRV,Croatia,,,0.713,0.769,0.814,0.831,0.852,0.867,0.889,72.243,72.561,74.001,75.57,76.676,77.633,77.497,78.58,9.719560833,10.98812008,12.82217979,14.34375954,14.69629955,15.61137962,16.10606956,16.34815025
CUB,Cuba,LAC,0.687,0.664,0.697,0.747,0.783,0.769,0.762,0.762,73.823,74.346,75.922,77.54,77.876,77.745,77.407,78.085,12.60223961,11.52468967,12.44509983,14.8090601,16.27037048,13.85789013,14.42603016,13.87884045
CYP,Cyprus,,0.749,0.777,0.808,0.844,0.869,0.882,0.905,0.913,76.044,76.583,77.9,79.198,80.632,81.464,81.23,81.648,10.67582622,11.50742427,12.40380001,13.36178017,13.99242973,14.82831001,16.22817039,16.21559906
CZE,Czechia,,0.753,0.781,0.817,0.856,0.88,0.9,0.898,0.915,71.409,73.177,74.978,76.156,77.568,78.561,78.237,79.834,12.10068035,12.94954014,14.02147961,15.25259018,16.21603012,16.95470047,16.1389904,16.7935009
CIV,Côte d'Ivoire,SSA,0.389,0.399,0.419,0.435,0.465,0.519,0.553,0.582,52.796,51.713,51.393,52.432,55.282,58.281,60.14,61.944,5.348631403,5.888287707,6.487278112,7.128867912,7.770457713,8.547829628,10.10165024,11.41112995
DNK,Denmark,,0.844,0.862,0.896,0.917,0.92,0.943,0.954,0.962,74.865,75.287,76.815,78.226,79.247,80.739,81.546,81.933,14.31334019,15.18115044,16.20286942,16.77968979,16.89028931,19.2968998,18.64031982,18.70401001
DJI,Djibouti,AS,,0.318,0.337,0.375,0.421,0.469,0.499,0.513,55.469,56.234,56.734,58.548,60.743,62.833,64.2,65.987,2.456440572,2.87349385,3.338967562,4.217241898,4.841651291,5.466060683,6.090470076,6.207350016
DMA,Dominica,LAC,,,0.721,0.732,0.747,0.741,0.753,0.761,70.471,70.832,71.715,72.016,71.68,69.968,71.269,71.132,,,14.92225705,14.56706701,14.3703202,14.15099967,14.15099967,14.15099967
DOM,Dominican Republic,LAC,0.589,0.624,0.658,0.683,0.715,0.747,0.767,0.776,67.746,69.394,70.365,71.043,72.039,72.982,72.636,73.72,9.292522645,10.17015354,11.13067214,12.18190032,13.2331285,14.4622097,14.38307953,13.61692047
ECU,Ecuador,LAC,0.646,0.672,0.683,0.714,0.737,0.764,0.74,0.777,68.445,71.349,72.09,73.909,75.188,76.222,72.004,77.392,11.40330029,11.88080565,12.67896271,13.47711976,14.27527682,14.58164024,14.61038017,14.85167027
EGY,Egypt,AS,0.572,0.609,0.639,0.648,0.677,0.706,0.736,0.754,62.513,65.214,67.332,68.355,69.078,70.135,69.79,71.633,9.206990242,9.972420216,10.77771521,10.83143012,11.19958019,11.88743496,12.91180992,13.12716193
SLV,El Salvador,LAC,0.523,0.567,0.607,0.642,0.66,0.667,0.66,0.678,61.981,64.903,67.711,69.336,70.909,70.952,70.244,72.099,8.514767823,9.610887718,10.89731979,12.4198103,12.16615963,12.01471996,11.08368015,11.11291027
GNQ,Equatorial Guinea,SSA,,,0.508,0.566,0.612,0.656,0.668,0.674,51.397,51.926,53.395,55.766,58.344,60.635,62.141,63.707,,,6.095940113,7.618619873,9.141299634,10.66397939,12.18665915,12.49119511
ERI,Eritrea,SSA,,,,0.474,0.465,0.48,0.495,0.503,49.733,54.822,56.285,60.628,63.665,65.909,66.98,68.624,,5.933259964,7.421460152,8.337298298,7.158269882,7.23029995,7.318835512,7.336672297
EST,Estonia,,0.738,0.725,0.793,0.847,0.868,0.888,0.901,0.905,69.917,67.814,71.014,73.028,75.882,77.665,78.893,79.153,13.0799799,12.79681015,15.16271973,16.49143982,16.50847054,16.04608917,15.77509975,15.96786022
SWZ,Eswatini (Kingdom of),SSA,0.57,0.54,0.493,0.472,0.534,0.607,0.657,0.695,61.167,55.08,47.627,43.958,48.331,54.941,59.862,64.123,9.644469458,9.609889984,9.558130264,10.31523991,12.2055439,13.42878494,14.92692756,15.24604391
ETH,Ethiopia,SSA,,,0.293,0.35,0.415,0.456,0.486,0.497,45.117,48.156,50.88,54.364,59.709,63.592,65.969,67.315,2.954899966,2.531869888,4.218190193,6.314970016,8.021840096,8.448769877,9.094288497,9.217651571
FJI,Fiji,EAP,0.629,0.653,0.668,0.681,0.697,0.715,0.718,0.731,65.056,66.007,66.194,65.983,66.778,66.48,66.924,67.316,11.63193653,11.86062018,12.08948255,12.45875078,12.89310679,13.32746279,13.7618188,13.84869
FIN,Finland,,0.823,0.856,0.898,0.914,0.92,0.938,0.947,0.948,74.989,76.604,77.671,78.971,80.012,81.377,81.822,81.91,15.05280972,16.41723061,17.68334961,17.19054985,17.02306938,19.31086922,19.04858017,19.49408913
FRA,France,,0.798,0.837,0.852,0.877,0.888,0.901,0.909,0.92,76.835,77.871,79.044,80.337,81.405,82.149,82.199,83.325,13.98425961,15.77266979,14.93727016,15.43264008,15.38066006,15.51356983,15.95796013,16.09511948
GAB,Gabon,SSA,0.621,0.64,0.652,0.671,0.684,0.72,0.732,0.733,60.736,61.27,61.81,62.978,64.715,66.336,67.073,68.337,11.06384079,11.28127751,11.50307465,11.72905474,11.95956486,12.19460518,12.43426472,12.48275889
GMB,Gambia,SSA,0.331,0.37,0.403,0.436,0.463,0.482,0.512,0.524,51.278,54.292,56.899,59.11,61.167,62.971,64.418,65.86,3.84434068,4.723680019,5.804072343,6.884464667,7.477910042,8.180476728,8.977899686,8.977899686
GEO,Georgia,ECA,,,0.705,0.744,0.77,0.807,0.822,0.844,68.679,69.398,70.091,70.689,71.732,73.241,73.509,74.496,13.03065177,11.30313015,12.59049034,13.76416016,14.11575007,15.39435959,16.27112961,16.75470924
DEU,Germany,,0.834,0.87,0.897,0.923,0.936,0.948,0.955,0.959,75.341,76.552,78.056,79.254,80.081,80.566,81.004,81.378,14.37678802,15.75277996,16.16333967,16.52160501,16.87987036,17.11218071,17.22598076,17.30921936
