,iso3,country,region,hdi_2023,le_2023,eys_2023
5,ATG,Antigua and Barbuda,LAC,0.851,77.598,15.50299899
6,ARG,Argentina,LAC,0.865,77.395,18.83120918
11,BHS,Bahamas,LAC,0.82,74.552,11.89137971
14,BRB,Barbados,LAC,0.811,76.178,16.6280018
17,BLZ,Belize,LAC,0.721,73.566,11.98379993
20,BOL,Bolivia (Plurinational State of),LAC,0.733,68.581,15.61065006
23,BRA,Brazil,LAC,0.786,75.848,15.7927103
31,CAN,Canada,,0.939,82.63,15.88825989
34,CHL,Chile,LAC,0.878,81.167,16.91242027
36,COL,Colombia,LAC,0.788,77.725,14.28641033
40,CRI,Costa Rica,LAC,0.833,80.799,16.34963687
42,CUB,Cuba,LAC,0.762,78.085,13.87884045
48,DMA,Dominica,LAC,0.761,71.132,14.15099967
49,DOM,Dominican Republic,LAC,0.776,73.72,13.61692047
50,ECU,Ecuador,LAC,0.777,77.392,14.85167027
52,SLV,El Salvador,LAC,0.678,72.099,11.11291027
67,GRD,Grenada,LAC,0.791,75.205,16.57728919
68,GTM,Guatemala,LAC,0.662,72.602,10.67763042
71,GUY,Guyana,LAC,0.776,70.18,13.02205765
72,HTI,Haiti,LAC,0.554,64.936,10.89635878
73,HND,Honduras,LAC,0.645,72.884,10.16220647
84,JAM,Jamaica,LAC,0.72,71.479,12.3833955
112,MEX,Mexico,LAC,0.789,75.069,14.46811008
126,NIC,Nicaragua,LAC,0.706,74.947,11.51021957
135,PAN,Panama,LAC,0.839,79.594,13.3116098
137,PRY,Paraguay,LAC,0.756,73.844,13.98706964
138,PER,Peru,LAC,0.794,77.74,14.90939376
146,KNA,Saint Kitts and Nevis,LAC,0.84,72.145,18.40703011
147,LCA,Saint Lucia,LAC,0.748,72.697,12.73040962
148,VCT,Saint Vincent and the Grenadines,LAC,0.798,71.23,16.2530213
167,SUR,Suriname,LAC,0.722,73.631,10.95909977
177,TTO,Trinidad and Tobago,LAC,0.807,73.49,14.23764336
186,USA,United States,,0.938,79.304,15.92300034
187,URY,Uruguay,LAC,0.862,78.138,17.4839592
190,VEN,Venezuela (Bolivarian Republic of),LAC,0.709,72.514,12.96537654
